gene_id,dynamicColors,moduleColors,moduleLabels,gene_name,go_id
ENSMUSG00000099076,darkgrey,darkgrey,1.0,Mir7070,miRNA
ENSMUSG00000089213,darkgrey,darkgrey,1.0,,
ENSMUSG00000065512,darkgrey,darkgrey,1.0,Mir138-2,miRNA
ENSMUSG00000106145,darkgrey,darkgrey,1.0,Mir7073,miRNA
ENSMUSG00000089432,darkgrey,darkgrey,1.0,Mir1966,miRNA
ENSMUSG00000093241,darkgrey,darkgrey,1.0,Mir3108,miRNA
ENSMUSG00000098550,darkgrey,darkgrey,1.0,Mir7079,miRNA
ENSMUSG00000098582,darkgrey,darkgrey,1.0,Mir7080,miRNA
ENSMUSG00000093615,darkgrey,darkgrey,1.0,Mir5618,miRNA
ENSMUSG00000105847,darkgrey,darkgrey,1.0,Mir7650,miRNA
ENSMUSG00000098907,darkgrey,darkgrey,1.0,Mir7082,miRNA
ENSMUSG00000065547,darkgrey,darkgrey,1.0,Mir199a-1,miRNA
ENSMUSG00000098473,darkgrey,darkgrey,1.0,Mir7083,miRNA
ENSMUSG00000105072,darkgrey,darkgrey,1.0,,
ENSMUSG00000065492,darkgrey,darkgrey,1.0,Mir34b,miRNA
ENSMUSG00000093441,darkgrey,darkgrey,1.0,Mir5710,miRNA
ENSMUSG00000076281,darkgrey,darkgrey,1.0,,
ENSMUSG00000093042,darkgrey,darkgrey,1.0,Mir3109,miRNA
ENSMUSG00000093763,darkgrey,darkgrey,1.0,Mir5626,miRNA
ENSMUSG00000065596,darkgrey,darkgrey,1.0,Mir184,miRNA
ENSMUSG00000098251,darkgrey,darkgrey,1.0,Mir7656,miRNA
ENSMUSG00000065407,darkgrey,darkgrey,1.0,Mir135a-1,miRNA
ENSMUSG00000065579,darkgrey,darkgrey,1.0,Mir425,miRNA
ENSMUSG00000098490,darkgrey,darkgrey,1.0,Mir7089,miRNA
ENSMUSG00000098973,darkgrey,darkgrey,1.0,Mir6236,miRNA
ENSMUSG00000098922,darkgrey,darkgrey,1.0,Mir8106,miRNA
ENSMUSG00000065414,darkgrey,darkgrey,1.0,Mir138-1,miRNA
ENSMUSG00000093060,darkgrey,darkgrey,1.0,Mir5104,miRNA
ENSMUSG00000098714,darkgrey,darkgrey,1.0,Mir7663,miRNA
ENSMUSG00000089260,darkgrey,darkgrey,1.0,Mir1929,miRNA
ENSMUSG00000105468,darkgrey,darkgrey,1.0,Mir6906,miRNA
ENSMUSG00000099185,darkgrey,darkgrey,1.0,Mir7662,miRNA
ENSMUSG00000089424,darkgrey,darkgrey,1.0,Mir1930,miRNA
ENSMUSG00000087993,darkgrey,darkgrey,1.0,Mir1982,miRNA
ENSMUSG00000098811,darkgrey,darkgrey,1.0,Mir6913,miRNA
ENSMUSG00000092686,darkgrey,darkgrey,1.0,,
ENSMUSG00000065524,darkgrey,darkgrey,1.0,Mir135a-2,miRNA
ENSMUSG00000093227,darkgrey,darkgrey,1.0,Mir1251,miRNA
ENSMUSG00000089214,darkgrey,darkgrey,1.0,Mir1931,miRNA
ENSMUSG00000098679,darkgrey,darkgrey,1.0,Mir7688,miRNA
ENSMUSG00000092867,darkgrey,darkgrey,1.0,Mir3058,miRNA
ENSMUSG00000098522,darkgrey,darkgrey,1.0,Mir6412,miRNA
ENSMUSG00000106600,darkgrey,darkgrey,1.0,Mir6915,miRNA
ENSMUSG00000093080,darkgrey,darkgrey,1.0,Mir3060,miRNA
ENSMUSG00000104880,darkgrey,darkgrey,1.0,,
ENSMUSG00000098516,darkgrey,darkgrey,1.0,Mir7651,miRNA
ENSMUSG00000089555,darkgrey,darkgrey,1.0,Mir1933,miRNA
ENSMUSG00000065415,darkgrey,darkgrey,1.0,Mir217,miRNA
ENSMUSG00000065583,darkgrey,darkgrey,1.0,Mir218-2,miRNA
ENSMUSG00000065417,darkgrey,darkgrey,1.0,Mir340,miRNA
ENSMUSG00000092870,darkgrey,darkgrey,1.0,Mir3061,miRNA
ENSMUSG00000098906,darkgrey,darkgrey,1.0,Mir7652,miRNA
ENSMUSG00000065534,darkgrey,darkgrey,1.0,Mir324,miRNA
ENSMUSG00000099109,darkgrey,darkgrey,1.0,Mir7115,miRNA
ENSMUSG00000065518,darkgrey,darkgrey,1.0,Mir423,miRNA
ENSMUSG00000065455,darkgrey,darkgrey,1.0,Mir21a,miRNA
ENSMUSG00000065589,darkgrey,darkgrey,1.0,Mir301,miRNA
ENSMUSG00000093358,darkgrey,darkgrey,1.0,Mir3063,miRNA
ENSMUSG00000065546,darkgrey,darkgrey,1.0,Mir196a-1,miRNA
ENSMUSG00000065519,darkgrey,darkgrey,1.0,Mir10a,miRNA
ENSMUSG00000065515,darkgrey,darkgrey,1.0,Mir152,miRNA
ENSMUSG00000098769,darkgrey,darkgrey,1.0,Mir8103,miRNA
ENSMUSG00000098881,darkgrey,darkgrey,1.0,Mir6927,miRNA
ENSMUSG00000104854,darkgrey,darkgrey,1.0,Mir7116,miRNA
ENSMUSG00000093273,darkgrey,darkgrey,1.0,Mir3064,miRNA
ENSMUSG00000104740,darkgrey,darkgrey,1.0,Mir6516,miRNA
ENSMUSG00000098704,darkgrey,darkgrey,1.0,Mir6934,miRNA
ENSMUSG00000098955,darkgrey,darkgrey,1.0,Mir6935,miRNA
ENSMUSG00000098282,darkgrey,darkgrey,1.0,Mir6936,miRNA
ENSMUSG00000093037,darkgrey,darkgrey,1.0,Mir3066,miRNA
ENSMUSG00000098579,darkgrey,darkgrey,1.0,Mir6937,miRNA
ENSMUSG00000092998,darkgrey,darkgrey,1.0,Mir5099,miRNA
ENSMUSG00000089371,darkgrey,darkgrey,1.0,Mir1938,miRNA
ENSMUSG00000092922,darkgrey,darkgrey,1.0,Mir5101,miRNA
ENSMUSG00000092673,darkgrey,darkgrey,1.0,Mir3067,miRNA
ENSMUSG00000106366,darkgrey,darkgrey,1.0,Mir3069,miRNA
ENSMUSG00000065436,darkgrey,darkgrey,1.0,Mir342,miRNA
ENSMUSG00000080687,darkgrey,darkgrey,1.0,Mir1197,miRNA
ENSMUSG00000065617,darkgrey,darkgrey,1.0,Mir323,miRNA
ENSMUSG00000076459,darkgrey,darkgrey,1.0,Mir758,miRNA
ENSMUSG00000080356,darkgrey,darkgrey,1.0,Mir1247,miRNA
ENSMUSG00000065574,darkgrey,darkgrey,1.0,Mir203,miRNA
ENSMUSG00000098380,darkgrey,darkgrey,1.0,Mir6939,miRNA
ENSMUSG00000099165,darkgrey,darkgrey,1.0,Mir6940,miRNA
ENSMUSG00000065538,darkgrey,darkgrey,1.0,Mir153,miRNA
ENSMUSG00000088609,darkgrey,darkgrey,1.0,,
ENSMUSG00000098790,darkgrey,darkgrey,1.0,Mir6942,miRNA
ENSMUSG00000105580,darkgrey,darkgrey,1.0,,
ENSMUSG00000088148,darkgrey,darkgrey,1.0,Mir1983,miRNA
ENSMUSG00000105839,darkgrey,darkgrey,1.0,,
ENSMUSG00000104608,darkgrey,darkgrey,1.0,,
ENSMUSG00000104750,darkgrey,darkgrey,1.0,,
ENSMUSG00000105109,darkgrey,darkgrey,1.0,,
ENSMUSG00000065453,darkgrey,darkgrey,1.0,Mirlet7d,miRNA
ENSMUSG00000099058,darkgrey,darkgrey,1.0,Mir6943,miRNA
ENSMUSG00000077962,darkgrey,darkgrey,1.0,Mir874,miRNA
ENSMUSG00000065475,darkgrey,darkgrey,1.0,Mir27b,miRNA
ENSMUSG00000076146,darkgrey,darkgrey,1.0,Mir449c,miRNA
ENSMUSG00000093081,darkgrey,darkgrey,1.0,Mir3075,miRNA
ENSMUSG00000098751,darkgrey,darkgrey,1.0,Mir7672,miRNA
ENSMUSG00000093156,darkgrey,darkgrey,1.0,Mir3076,miRNA
ENSMUSG00000065481,darkgrey,darkgrey,1.0,Mir346,miRNA
ENSMUSG00000093167,darkgrey,darkgrey,1.0,Mir5131,miRNA
ENSMUSG00000092995,darkgrey,darkgrey,1.0,Mir16-1,miRNA
ENSMUSG00000093007,darkgrey,darkgrey,1.0,Mir15a,miRNA
ENSMUSG00000099245,darkgrey,darkgrey,1.0,Mir8098,miRNA
ENSMUSG00000076049,darkgrey,darkgrey,1.0,Mir598,miRNA
ENSMUSG00000092901,darkgrey,darkgrey,1.0,Mir5130,miRNA
ENSMUSG00000065508,darkgrey,darkgrey,1.0,Mir17,miRNA
ENSMUSG00000065403,darkgrey,darkgrey,1.0,Mir18,miRNA
ENSMUSG00000065416,darkgrey,darkgrey,1.0,Mir19a,miRNA
ENSMUSG00000065442,darkgrey,darkgrey,1.0,Mir20a,miRNA
ENSMUSG00000076256,darkgrey,darkgrey,1.0,Mir19b-1,miRNA
ENSMUSG00000098416,darkgrey,darkgrey,1.0,Mir7117,miRNA
ENSMUSG00000076333,darkgrey,darkgrey,1.0,Mir599,miRNA
ENSMUSG00000077890,darkgrey,darkgrey,1.0,Mir875,miRNA
ENSMUSG00000098457,darkgrey,darkgrey,1.0,Mir8097,miRNA
ENSMUSG00000099110,darkgrey,darkgrey,1.0,Mir6951,miRNA
ENSMUSG00000104794,darkgrey,darkgrey,1.0,Mir28c,miRNA
ENSMUSG00000065476,darkgrey,darkgrey,1.0,Mir30b,miRNA
ENSMUSG00000099180,darkgrey,darkgrey,1.0,Mir6956,miRNA
ENSMUSG00000092868,darkgrey,darkgrey,1.0,Mir5113,miRNA
ENSMUSG00000092751,darkgrey,darkgrey,1.0,Mir3080,miRNA
ENSMUSG00000065564,darkgrey,darkgrey,1.0,Mirlet7b,miRNA
ENSMUSG00000098663,darkgrey,darkgrey,1.0,Mir6958,miRNA
ENSMUSG00000098442,darkgrey,darkgrey,1.0,Mir6959,miRNA
ENSMUSG00000106463,darkgrey,darkgrey,1.0,Mir1291,miRNA
ENSMUSG00000106563,darkgrey,darkgrey,1.0,Mir6962,miRNA
ENSMUSG00000065488,darkgrey,darkgrey,1.0,Mir196a-2,miRNA
