gene_id,dynamicColors,moduleColors,moduleLabels,gene_name,go_id
ENSMUSG00000093133,gainsboro,gainsboro,3.0,,
ENSMUSG00000098497,gainsboro,gainsboro,3.0,Mir6932,miRNA
ENSMUSG00000098981,gainsboro,gainsboro,3.0,Mir7236,miRNA
ENSMUSG00000098879,gainsboro,gainsboro,3.0,Mir7675,miRNA
ENSMUSG00000098263,gainsboro,gainsboro,3.0,Mir6938,miRNA
ENSMUSG00000106297,gainsboro,gainsboro,3.0,,
ENSMUSG00000105428,gainsboro,gainsboro,3.0,Mir3068,miRNA
ENSMUSG00000106366,gainsboro,gainsboro,3.0,Mir3069,miRNA
ENSMUSG00000093331,gainsboro,gainsboro,3.0,,
ENSMUSG00000098338,gainsboro,gainsboro,3.0,Mir6941,miRNA
ENSMUSG00000065432,gainsboro,gainsboro,3.0,Mir208a,miRNA
ENSMUSG00000077928,gainsboro,gainsboro,3.0,Mir208b,miRNA
ENSMUSG00000099245,gainsboro,gainsboro,3.0,Mir8098,miRNA
ENSMUSG00000098666,gainsboro,gainsboro,3.0,Mir6950,miRNA
ENSMUSG00000092901,gainsboro,gainsboro,3.0,Mir5130,miRNA
ENSMUSG00000104794,gainsboro,gainsboro,3.0,Mir28c,miRNA
ENSMUSG00000099260,gainsboro,gainsboro,3.0,Mir6954,miRNA
ENSMUSG00000080527,gainsboro,gainsboro,3.0,,
ENSMUSG00000080669,gainsboro,gainsboro,3.0,Mir1224,miRNA
ENSMUSG00000065494,gainsboro,gainsboro,3.0,Mir28a,miRNA
ENSMUSG00000076372,gainsboro,gainsboro,3.0,Mir568,miRNA
ENSMUSG00000065397,gainsboro,gainsboro,3.0,Mir155,miRNA
ENSMUSG00000092981,gainsboro,gainsboro,3.0,Mir5125,miRNA
ENSMUSG00000093202,gainsboro,gainsboro,3.0,Mir3547,miRNA
ENSMUSG00000098764,gainsboro,gainsboro,3.0,Mir7667,miRNA
ENSMUSG00000093323,gainsboro,gainsboro,3.0,,
ENSMUSG00000098458,gainsboro,gainsboro,3.0,Mir6971,miRNA
ENSMUSG00000106514,gainsboro,gainsboro,3.0,Mir6976,miRNA
ENSMUSG00000065491,gainsboro,gainsboro,3.0,Mir7b,miRNA
ENSMUSG00000093508,gainsboro,gainsboro,3.0,Mir5709,miRNA
ENSMUSG00000098297,gainsboro,gainsboro,3.0,Mir6980,miRNA
ENSMUSG00000093327,gainsboro,gainsboro,3.0,Mir5107,miRNA
ENSMUSG00000098475,gainsboro,gainsboro,3.0,Mir6982,miRNA
ENSMUSG00000093026,gainsboro,gainsboro,3.0,,
ENSMUSG00000098366,gainsboro,gainsboro,3.0,Mir145b,miRNA
ENSMUSG00000092638,gainsboro,gainsboro,3.0,Mir5112,miRNA
ENSMUSG00000099261,gainsboro,gainsboro,3.0,Mir6984,miRNA
ENSMUSG00000098568,gainsboro,gainsboro,3.0,Mir6987,miRNA
ENSMUSG00000099069,gainsboro,gainsboro,3.0,Mir8090,miRNA
ENSMUSG00000098289,gainsboro,gainsboro,3.0,Mir6715,miRNA
ENSMUSG00000092794,gainsboro,gainsboro,3.0,Mir3110,miRNA
ENSMUSG00000070104,gainsboro,gainsboro,3.0,Mir471,miRNA
ENSMUSG00000065404,gainsboro,gainsboro,3.0,Mir201,miRNA
ENSMUSG00000076005,gainsboro,gainsboro,3.0,Mir547,miRNA
ENSMUSG00000076066,gainsboro,gainsboro,3.0,Mir223,miRNA
ENSMUSG00000099272,gainsboro,gainsboro,3.0,Mir7093,miRNA
ENSMUSG00000105967,gainsboro,gainsboro,3.0,,
ENSMUSG00000076458,gainsboro,gainsboro,3.0,Mir764,miRNA
ENSMUSG00000099172,gainsboro,gainsboro,3.0,Mir3620,miRNA
ENSMUSG00000093219,gainsboro,gainsboro,3.0,Mir3113,miRNA
