gene_id,dynamicColors,moduleColors,moduleLabels,gene_name,go_id
ENSMUSG00000093351,black,black,0.0,Mir3072,miRNA
ENSMUSG00000098338,black,black,0.0,Mir6941,miRNA
ENSMUSG00000065421,black,black,0.0,Mirlet7a-1,miRNA
ENSMUSG00000099096,black,black,0.0,Mir6945,miRNA
ENSMUSG00000065434,black,black,0.0,Mir7-1,miRNA
ENSMUSG00000076946,black,black,0.0,Mir582,miRNA
ENSMUSG00000078027,black,black,0.0,Mir449b,miRNA
ENSMUSG00000065575,black,black,0.0,Mir449a,miRNA
ENSMUSG00000098602,black,black,0.0,Mir6946,miRNA
ENSMUSG00000099036,black,black,0.0,Mir378c,miRNA
ENSMUSG00000065432,black,black,0.0,Mir208a,miRNA
ENSMUSG00000077928,black,black,0.0,Mir208b,miRNA
ENSMUSG00000098866,black,black,0.0,Mir6539,miRNA
ENSMUSG00000065528,black,black,0.0,Mir320,miRNA
ENSMUSG00000076062,black,black,0.0,Mir92-1,miRNA
ENSMUSG00000065437,black,black,0.0,Mir30d,miRNA
ENSMUSG00000065612,black,black,0.0,Mir151,miRNA
ENSMUSG00000098451,black,black,0.0,Mir6952,miRNA
ENSMUSG00000099267,black,black,0.0,Mir6955,miRNA
ENSMUSG00000105167,black,black,0.0,Snord43,miRNA
ENSMUSG00000065465,black,black,0.0,Mir33,miRNA
ENSMUSG00000080441,black,black,0.0,Mir1249,miRNA
ENSMUSG00000065608,black,black,0.0,Mirlet7c-2,miRNA
ENSMUSG00000106328,black,black,0.0,Mir7118,miRNA
ENSMUSG00000098698,black,black,0.0,Mir6960,miRNA
ENSMUSG00000088459,black,black,0.0,Mir1941,miRNA
ENSMUSG00000076010,black,black,0.0,Mir615,miRNA
ENSMUSG00000065560,black,black,0.0,Mir148b,miRNA
ENSMUSG00000098419,black,black,0.0,Mir6963,miRNA
ENSMUSG00000076972,black,black,0.0,Mir193b,miRNA
ENSMUSG00000070074,black,black,0.0,Mir484,miRNA
ENSMUSG00000065464,black,black,0.0,Mir185,miRNA
ENSMUSG00000065494,black,black,0.0,Mir28a,miRNA
ENSMUSG00000088860,black,black,0.0,Mir1947,miRNA
ENSMUSG00000065530,black,black,0.0,Mir99a,miRNA
ENSMUSG00000065557,black,black,0.0,Mirlet7c-1,miRNA
ENSMUSG00000065472,black,black,0.0,Mir125b-2,miRNA
ENSMUSG00000065397,black,black,0.0,Mir155,miRNA
ENSMUSG00000065396,black,black,0.0,Mir99b,miRNA
ENSMUSG00000065479,black,black,0.0,Mir125a,miRNA
ENSMUSG00000093076,black,black,0.0,Mir3082,miRNA
ENSMUSG00000098826,black,black,0.0,Mir7677,miRNA
ENSMUSG00000077931,black,black,0.0,Mir877,miRNA
ENSMUSG00000065399,black,black,0.0,Mir133a-1,miRNA
ENSMUSG00000087950,black,black,0.0,Mir1948,miRNA
ENSMUSG00000098297,black,black,0.0,Mir6980,miRNA
ENSMUSG00000065592,black,black,0.0,Mir145a,miRNA
ENSMUSG00000065402,black,black,0.0,Mir122,miRNA
ENSMUSG00000098253,black,black,0.0,Mir7219,miRNA
ENSMUSG00000098928,black,black,0.0,Mir6988,miRNA
ENSMUSG00000098413,black,black,0.0,Mir6990,miRNA
ENSMUSG00000065507,black,black,0.0,Mir204,miRNA
ENSMUSG00000106278,black,black,0.0,Mir3970,miRNA
ENSMUSG00000070127,black,black,0.0,Mir146b,miRNA
ENSMUSG00000070108,black,black,0.0,Mir500,miRNA
ENSMUSG00000065398,black,black,0.0,Mir188,miRNA
ENSMUSG00000065422,black,black,0.0,Mir221,miRNA
ENSMUSG00000065471,black,black,0.0,Mir222,miRNA
ENSMUSG00000076050,black,black,0.0,Mir450b,miRNA
ENSMUSG00000065486,black,black,0.0,Mir450-1,miRNA
ENSMUSG00000076399,black,black,0.0,Mir450-2,miRNA
ENSMUSG00000076140,black,black,0.0,Mir542,miRNA
ENSMUSG00000065503,black,black,0.0,Mir351,miRNA
ENSMUSG00000070110,black,black,0.0,Mir504,miRNA
ENSMUSG00000094184,black,black,0.0,,
ENSMUSG00000070073,black,black,0.0,Mir470,miRNA
ENSMUSG00000065404,black,black,0.0,Mir201,miRNA
ENSMUSG00000076005,black,black,0.0,Mir547,miRNA
ENSMUSG00000065542,black,black,0.0,Mir224,miRNA
ENSMUSG00000092907,black,black,0.0,Mir5132,miRNA
ENSMUSG00000099226,black,black,0.0,Mir7091,miRNA
ENSMUSG00000076066,black,black,0.0,Mir223,miRNA
ENSMUSG00000076398,black,black,0.0,Mir676,miRNA
ENSMUSG00000076286,black,black,0.0,Mir672,miRNA
ENSMUSG00000106264,black,black,0.0,Mir7646,miRNA
ENSMUSG00000093122,black,black,0.0,Mir1264,miRNA
ENSMUSG00000065602,black,black,0.0,Mirlet7f-2,miRNA
ENSMUSG00000065536,black,black,0.0,Mir98,miRNA
